"longitude","latitude","ndvi"
-51.0373873873874,-30,0.4865
-51.0373873873874,-29.9774774774775,0.6606
-51.0373873873874,-29.954954954955,0.8522
-51.0373873873874,-29.9324324324324,0.5247
-51.0373873873874,-29.9099099099099,0.459
-51.0373873873874,-29.8873873873874,0.6403
-51.0373873873874,-29.8648648648649,0.6773
-51.0148648648649,-30.1351351351351,0.6329
-51.0148648648649,-30.1126126126126,0.755
-51.0148648648649,-30.0900900900901,0.4141
-51.0148648648649,-30.0675675675676,0.7202
-51.0148648648649,-30.045045045045,0.7514
-51.0148648648649,-30.0225225225225,0.7365
-51.0148648648649,-30,0.6283
-51.0148648648649,-29.9774774774775,0.7737
-51.0148648648649,-29.954954954955,0.7757
-51.0148648648649,-29.9324324324324,0.3558
-51.0148648648649,-29.9099099099099,0.7099
-51.0148648648649,-29.8873873873874,0.7582
-51.0148648648649,-29.8648648648649,0.6564
