"longitude","latitude","ndvi"
-51.2975675675676,-29.8723423423423,0.8213
-51.2975675675676,-29.8498198198198,0.6971
-51.2975675675676,-29.8272972972973,0.4744
-51.2975675675676,-29.8047747747748,0.6734
-51.275045045045,-30.2552252252252,-0.3
-51.275045045045,-30.2327027027027,-0.3
-51.275045045045,-30.2101801801802,-0.3
-51.275045045045,-30.1876576576577,-0.3
-51.275045045045,-30.1651351351351,-0.3
-51.275045045045,-30.1426126126126,-0.3
-51.275045045045,-30.1200900900901,-0.3
-51.275045045045,-30.0975675675676,-0.3
-51.275045045045,-30.075045045045,-0.3
-51.275045045045,-30.0525225225225,-0.3
-51.275045045045,-30.03,-0.3
-51.275045045045,-29.984954954955,0.4762
-51.275045045045,-29.9624324324324,0.8165
-51.275045045045,-29.9399099099099,0.6136
-51.275045045045,-29.9173873873874,0.8456
-51.275045045045,-29.8948648648649,0.7971
-51.275045045045,-29.8723423423423,0.3621
-51.275045045045,-29.8498198198198,0.5276
-51.275045045045,-29.8272972972973,0.7216
-51.275045045045,-29.8047747747748,0.7905
-51.2525225225225,-30.2552252252252,-0.3
-51.2525225225225,-30.2327027027027,-0.3
-51.2525225225225,-30.2101801801802,-0.3
-51.2525225225225,-30.1876576576577,-0.3
-51.2525225225225,-30.1651351351351,-0.1837
-51.2525225225225,-30.1426126126126,-0.3
-51.2525225225225,-30.1200900900901,0.5537
-51.2525225225225,-30.0975675675676,0.4591
-51.2525225225225,-30.075045045045,-0.3
-51.2525225225225,-30.0525225225225,-0.0283
-51.2525225225225,-30.03,0.6709
-51.2525225225225,-30.0074774774775,0.6796
-51.2525225225225,-29.984954954955,0.5693
-51.2525225225225,-29.9624324324324,0.856
-51.2525225225225,-29.9399099099099,0.8447
-51.2525225225225,-29.9173873873874,0.8054
-51.2525225225225,-29.8948648648649,0.7964
-51.2525225225225,-29.8723423423423,0.4966
-51.2525225225225,-29.8498198198198,0.5739
-51.2525225225225,-29.8272972972973,0.6932
-51.2525225225225,-29.8047747747748,0.5853
-51.23,-30.2552252252252,-0.3
-51.23,-30.2327027027027,-0.3
-51.23,-30.2101801801802,-0.3
-51.23,-30.1876576576577,0.5864
-51.23,-30.1651351351351,0.4073
-51.23,-30.1426126126126,-0.3
-51.23,-30.1200900900901,0.7785
-51.23,-30.0975675675676,0.3252
-51.23,-30.075045045045,0.4241
-51.23,-30.0525225225225,0.4501
-51.23,-30.03,0.1685
-51.23,-30.0074774774775,-0.3
-51.23,-29.984954954955,0.8174
-51.23,-29.9624324324324,0.1393
-51.23,-29.9399099099099,-0.1156
-51.23,-29.9173873873874,0.6229
-51.23,-29.8948648648649,0.6839
-51.23,-29.8723423423423,0.7811
-51.23,-29.8498198198198,0.6342
-51.23,-29.8272972972973,0.6256
-51.23,-29.8047747747748,0.7471
-51.2074774774775,-30.2552252252252,-0.3
-51.2074774774775,-30.2327027027027,-0.3
-51.2074774774775,-30.2101801801802,-0.3
-51.2074774774775,-30.1876576576577,0.8408
-51.2074774774775,-30.1651351351351,0.8
-51.2074774774775,-30.1426126126126,0.509
-51.2074774774775,-30.1200900900901,0.5149
-51.2074774774775,-30.0975675675676,0.8069
-51.2074774774775,-30.075045045045,0.4388
-51.2074774774775,-30.0525225225225,0.4362
-51.2074774774775,-30.03,0.3042
-51.2074774774775,-30.0074774774775,0.1648
-51.2074774774775,-29.984954954955,0.1552
-51.2074774774775,-29.9624324324324,0.7767
-51.2074774774775,-29.9399099099099,0.8428
-51.2074774774775,-29.9173873873874,0.6728
-51.2074774774775,-29.8948648648649,0.7704
-51.2074774774775,-29.8723423423423,0.5443
-51.2074774774775,-29.8498198198198,0.8295
-51.2074774774775,-29.8272972972973,0.8615
-51.2074774774775,-29.8047747747748,0.8115
-51.1849549549549,-30.2552252252252,-0.3
-51.1849549549549,-30.2327027027027,-0.0088
-51.1849549549549,-30.2101801801802,0.4635
-51.1849549549549,-30.1876576576577,0.6195
-51.1849549549549,-30.1651351351351,0.5556
-51.1849549549549,-30.1426126126126,0.6875
-51.1849549549549,-30.1200900900901,0.7289
-51.1849549549549,-30.0975675675676,0.6067
-51.1849549549549,-30.075045045045,0.4119
-51.1849549549549,-30.0525225225225,0.2521
-51.1849549549549,-30.03,0.3835
-51.1849549549549,-30.0074774774775,0.187
-51.1849549549549,-29.984954954955,0.4115
-51.1849549549549,-29.9624324324324,0.2849
-51.1849549549549,-29.9399099099099,0.3524
-51.1849549549549,-29.9173873873874,0.4119
-51.1849549549549,-29.8948648648649,0.5453
-51.1849549549549,-29.8723423423423,0.4442
-51.1849549549549,-29.8498198198198,0.3025
-51.1849549549549,-29.8272972972973,0.7051
-51.1849549549549,-29.8047747747748,0.6354
-51.1624324324324,-30.2552252252252,-0.3
-51.1624324324324,-30.2327027027027,0.634
-51.1624324324324,-30.2101801801802,0.6739
-51.1624324324324,-30.1876576576577,0.6088
-51.1624324324324,-30.1651351351351,0.6819
-51.1624324324324,-30.1426126126126,0.6527
-51.1624324324324,-30.1200900900901,0.6109
-51.1624324324324,-30.0975675675676,0.7606
-51.1624324324324,-30.075045045045,0.3374
-51.1624324324324,-30.0525225225225,0.3483
-51.1624324324324,-30.03,0.3612
-51.1624324324324,-30.0074774774775,0.4038
-51.1624324324324,-29.984954954955,0.3113
-51.1624324324324,-29.9624324324324,0.3028
-51.1624324324324,-29.9399099099099,0.6984
-51.1624324324324,-29.9173873873874,0.3796
-51.1624324324324,-29.8948648648649,0.3374
-51.1624324324324,-29.8723423423423,0.2468
-51.1624324324324,-29.8498198198198,0.4171
-51.1624324324324,-29.8272972972973,0.3343
-51.1624324324324,-29.8047747747748,0.5727
-51.1399099099099,-30.2552252252252,0.6792
-51.1399099099099,-30.2327027027027,0.6676
-51.1399099099099,-30.2101801801802,0.6982
-51.1399099099099,-30.1876576576577,0.6549
-51.1399099099099,-30.1651351351351,0.3234
-51.1399099099099,-30.1426126126126,0.4067
-51.1399099099099,-30.1200900900901,0.7666
-51.1399099099099,-30.0975675675676,0.5842
-51.1399099099099,-30.075045045045,0.765
-51.1399099099099,-30.0525225225225,0.6313
-51.1399099099099,-30.03,0.4291
-51.1399099099099,-30.0074774774775,0.3025
-51.1399099099099,-29.984954954955,0.4849
-51.1399099099099,-29.9624324324324,0.3849
-51.1399099099099,-29.9399099099099,0.7986
-51.1399099099099,-29.9173873873874,0.335
-51.1399099099099,-29.8948648648649,0.418
-51.1399099099099,-29.8723423423423,0.8678
-51.1399099099099,-29.8498198198198,0.3076
-51.1399099099099,-29.8272972972973,0.2797
-51.1399099099099,-29.8047747747748,0.7285
-51.1173873873874,-30.2552252252252,-0.3
-51.1173873873874,-30.2327027027027,0.6055
-51.1173873873874,-30.2101801801802,0.7958
-51.1173873873874,-30.1876576576577,0.8758
-51.1173873873874,-30.1651351351351,0.8282
-51.1173873873874,-30.1426126126126,0.4868
-51.1173873873874,-30.1200900900901,0.7149
-51.1173873873874,-30.0975675675676,0.8466
-51.1173873873874,-30.075045045045,0.7063
-51.1173873873874,-30.0525225225225,0.7982
-51.1173873873874,-30.03,0.4255
-51.1173873873874,-30.0074774774775,0.6066
-51.1173873873874,-29.984954954955,0.3827
-51.1173873873874,-29.9624324324324,0.3056
